fen,evaluation
r1bqkbnr/pppp1ppp/2n5/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,32
r1bqkbnr/1ppp1ppp/p1n5/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 4,34
r1bqkbnr/1ppp1ppp/p1n5/4p3/B3P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 1 4,36
r1bqkb1r/1ppp1ppp/p1n2n2/4p3/B3P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 2 5,32
r1bqkb1r/1ppp1ppp/p1n2n2/4p3/B3P3/5N2/PPPP1PPP/RNBQ1RK1 b kq - 3 5,30
r1bqk2r/1pppbppp/p1n2n2/4p3/B3P3/5N2/PPPP1PPP/RNBQ1RK1 w kq - 4 6,46
r1bqk2r/1pppbppp/p1n2n2/4p3/B3P3/5N2/PPPP1PPP/RNBQR1K1 b kq - 5 6,43
r1bqk2r/2ppbppp/p1n2n2/1p2p3/B3P3/5N2/PPPP1PPP/RNBQR1K1 w kq - 0 7,43
r1bqk2r/2ppbppp/p1n2n2/1p2p3/4P3/1B3N2/PPPP1PPP/RNBQR1K1 b kq - 1 7,45
r1bqk2r/2p1bppp/p1np1n2/1p2p3/4P3/1B3N2/PPPP1PPP/RNBQR1K1 w kq - 0 8,42
r1bqk2r/2p1bppp/p1np1n2/1p2p3/4P3/1BP2N2/PP1P1PPP/RNBQR1K1 b kq - 0 8,45
r1bq1rk1/2p1bppp/p1np1n2/1p2p3/4P3/1BP2N2/PP1P1PPP/RNBQR1K1 w - - 1 9,48
r1bq1rk1/2p1bppp/p1np1n2/1p2p3/4P3/1BP2N1P/PP1P1PP1/RNBQR1K1 b - - 0 9,50
rnbq1rk1/2p1bppp/p2p1n2/1p2p3/4P3/1BP2N1P/PP1P1PP1/RNBQR1K1 w - - 1 10,46
rnbq1rk1/2p1bppp/p2p1n2/1p2p3/3PP3/1BP2N1P/PP3PP1/RNBQR1K1 b - - 0 10,43
r1bq1rk1/2pnbppp/p2p1n2/1p2p3/3PP3/1BP2N1P/PP3PP1/RNBQR1K1 w - - 1 11,42
r1bq1rk1/2pnbppp/p2p1n2/1p2p3/3PP3/1BP2N1P/PP1N1PP1/R1BQR1K1 b - - 2 11,38
r2q1rk1/1bpnbppp/p2p1n2/1p2p3/3PP3/1BP2N1P/PP1N1PP1/R1BQR1K1 w - - 3 12,39
r2q1rk1/1bpnbppp/p2p1n2/1p2p3/3PP3/2P2N1P/PPBN1PP1/R1BQR1K1 b - - 4 12,43
r2qr1k1/1bpnbppp/p2p1n2/1p2p3/3PP3/2P2N1P/PPBN1PP1/R1BQR1K1 w - - 5 13,44
r2qr1k1/1bpnbppp/p2p1n2/1p2p3/3PP3/2P2N1P/PPB2PP1/R1BQRNK1 b - - 6 13,41
r2qrbk1/1bpn1ppp/p2p1n2/1p2p3/3PP3/2P2N1P/PPB2PP1/R1BQRNK1 w - - 7 14,42
r2qrbk1/1bpn1ppp/p2p1n2/1p2p3/3PP3/2P2NNP/PPB2PP1/R1BQR1K1 b - - 8 14,42
r2qrbk1/1bpn1p1p/p2p1np1/1p2p3/3PP3/2P2NNP/PPB2PP1/R1BQR1K1 w - - 0 15,51
r2qrbk1/1bpn1p1p/p2p1np1/1p2p1B1/3PP3/2P2NNP/PPB2PP1/R2QR1K1 b - - 1 15,48
r2qrbk1/1bpn1p2/p2p1npp/1p2p1B1/3PP3/2P2NNP/PPB2PP1/R2QR1K1 w - - 0 16,48
r2qrbk1/1bpn1p2/p2p1npp/1p2p3/3PP3/2P2NNP/PPBB1PP1/R2QR1K1 b - - 1 16,48
r2qrbk1/1bpn1p2/p2p1npp/1p6/3pP3/2P2NNP/PPBB1PP1/R2QR1K1 w - - 0 17,72
r2qrbk1/1bpn1p2/p2p1npp/1p6/3PP3/5NNP/PPBB1PP1/R2QR1K1 b - - 0 17,62
r2qrbk1/1b1n1p2/p2p1npp/1pp5/3PP3/5NNP/PPBB1PP1/R2QR1K1 w - - 0 18,61
r2qrbk1/1b1n1p2/p2p1npp/1pp5/3PPB2/5NNP/PPB2PP1/R2QR1K1 b - - 1 18,0
r2qrbk1/1b1n1p2/p2p1npp/1p6/3pPB2/5NNP/PPB2PP1/R2QR1K1 w - - 0 19,-7
r2qrbk1/1b1n1p2/p2p1npp/1p6/3NPB2/6NP/PPB2PP1/R2QR1K1 b - - 0 19,-5
r2qrbk1/1b3p2/p2p1npp/1p2n3/3NPB2/6NP/PPB2PP1/R2QR1K1 w - - 1 20,-2
r2qrbk1/1b3p2/p2p1npp/1p2n3/3NPB2/1P4NP/P1B2PP1/R2QR1K1 b - - 0 20,-49
r2qrbk1/1b3p2/p4npp/1p1pn3/3NPB2/1P4NP/P1B2PP1/R2QR1K1 w - - 0 21,-34
r2qrbk1/1b3p2/p4npp/1p1pn3/3NPB2/1P4NP/P1BQ1PP1/R3R1K1 b - - 1 21,-87
r2qrbk1/1b3p2/p4npp/1p2n3/3NpB2/1P4NP/P1BQ1PP1/R3R1K1 w - - 0 22,-99
r2qrbk1/1b3p2/p4npp/1p2n3/3NNB2/1P5P/P1BQ1PP1/R3R1K1 b - - 0 22,-119
r2qrbk1/1b3p2/p5pp/1p1nn3/3NNB2/1P5P/P1BQ1PP1/R3R1K1 w - - 1 23,-118
r2qrbk1/1b3p2/p5pp/1p1nn3/3NN3/1P4BP/P1BQ1PP1/R3R1K1 b - - 2 23,-114
2rqrbk1/1b3p2/p5pp/1p1nn3/3NN3/1P4BP/P1BQ1PP1/R3R1K1 w - - 3 24,-109
2rqrbk1/1b3p2/p5pp/1p1nn3/3NN3/1P4BP/P1BQRPP1/R5K1 b - - 4 24,-127
2rqrbk1/1b6/p5pp/1p1nnp2/3NN3/1P4BP/P1BQRPP1/R5K1 w - - 0 25,-114
2rqrbk1/1b6/p5pp/1p1nBp2/3NN3/1P5P/P1BQRPP1/R5K1 b - - 0 25,-102
2rq1bk1/1b6/p5pp/1p1nrp2/3NN3/1P5P/P1BQRPP1/R5K1 w - - 0 26,-112
2rq1bk1/1b6/p5pp/1p1nrp2/3N4/1P4NP/P1BQRPP1/R5K1 b - - 1 26,-104
2rq1bk1/1b6/p5pp/1p1n1p2/3N4/1P4NP/P1BQrPP1/R5K1 w - - 0 27,-84
2rq1bk1/1b6/p5pp/1p1n1p2/3N4/1P5P/P1BQNPP1/R5K1 b - - 0 27,-91
2rq1bk1/1b6/p5pp/1p3p2/1n1N4/1P5P/P1BQNPP1/R5K1 w - - 1 28,-94
2rq1bk1/1b6/p5pp/1p3p2/1n1N4/1P5P/P1BQNPP1/3R2K1 b - - 2 28,-108
2rq1bk1/1b6/p5pp/1p3p2/3N4/1P5P/P1nQNPP1/3R2K1 w - - 0 29,-86
2rq1bk1/1b6/p5pp/1p3p2/8/1P5P/P1NQNPP1/3R2K1 b - - 0 29,-82
2r2bk1/1b6/p5pp/1p3p2/8/1P5P/P1NqNPP1/3R2K1 w - - 0 30,-87
2r2bk1/1b6/p5pp/1p3p2/8/1P5P/P1NRNPP1/6K1 b - - 0 30,-75
5bk1/1br5/p5pp/1p3p2/8/1P5P/P1NRNPP1/6K1 w - - 1 31,-81
5bk1/1br5/p5pp/1p3p2/8/1P2N2P/P2RNPP1/6K1 b - - 2 31,-87
5b2/1br2k2/p5pp/1p3p2/8/1P2N2P/P2RNPP1/6K1 w - - 3 32,-85
5b2/1br2k2/p5pp/1p3p2/7P/1P2N3/P2RNPP1/6K1 b - - 0 32,-80
2b2b2/2r2k2/p5pp/1p3p2/7P/1P2N3/P2RNPP1/6K1 w - - 1 33,-64
2b2b2/2r2k2/p5pp/1p3p2/5N1P/1P2N3/P2R1PP1/6K1 b - - 2 33,-72
2b2b2/2r2k2/p6p/1p3pp1/5N1P/1P2N3/P2R1PP1/6K1 w - - 0 34,-56
2b2b2/2r2k2/p6p/1p3pP1/5N2/1P2N3/P2R1PP1/6K1 b - - 0 34,-61
2b2b2/2r2k2/p7/1p3pp1/5N2/1P2N3/P2R1PP1/6K1 w - - 0 35,-49
2b2b2/2r2k2/p7/1p3pp1/8/1P1NN3/P2R1PP1/6K1 b - - 1 35,-46
2b5/2r2kb1/p7/1p3pp1/8/1P1NN3/P2R1PP1/6K1 w - - 2 36,-52
