fen,evaluation
rnbqkbnr/pp2pppp/3p4/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,33
rnbqkbnr/pp2pppp/3p4/2p5/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,43
rnbqkbnr/pp2pppp/3p4/8/3pP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 4,44
rnbqkbnr/pp2pppp/3p4/8/3NP3/8/PPP2PPP/RNBQKB1R b KQkq - 0 4,42
rnbqkb1r/pp2pppp/3p1n2/8/3NP3/8/PPP2PPP/RNBQKB1R w KQkq - 1 5,43
rnbqkb1r/pp2pppp/3p1n2/8/3NP3/2N5/PPP2PPP/R1BQKB1R b KQkq - 2 5,45
rnbqkb1r/1p2pppp/p2p1n2/8/3NP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 0 6,42
rnbqkb1r/1p2pppp/p2p1n2/8/3NP3/2N5/PPP1BPPP/R1BQK2R b KQkq - 1 6,30
r1bqkb1r/1p1npppp/p2p1n2/8/3NP3/2N5/PPP1BPPP/R1BQK2R w KQkq - 2 7,57
r1bqkb1r/1p1npppp/p2p1n2/8/3NP3/2N5/PPP1BPPP/R1BQ1RK1 b kq - 3 7,43
r1bqkb1r/1p1n1ppp/p2ppn2/8/3NP3/2N5/PPP1BPPP/R1BQ1RK1 w kq - 0 8,41
r1bqkb1r/1p1n1ppp/p2ppn2/8/3NPP2/2N5/PPP1B1PP/R1BQ1RK1 b kq - 0 8,-21
r1bqkb1r/3n1ppp/p2ppn2/1p6/3NPP2/2N5/PPP1B1PP/R1BQ1RK1 w kq - 0 9,1
r1bqkb1r/3n1ppp/p2ppn2/1p6/3NPP2/2N2B2/PPP3PP/R1BQ1RK1 b kq - 1 9,1
r2qkb1r/1b1n1ppp/p2ppn2/1p6/3NPP2/2N2B2/PPP3PP/R1BQ1RK1 w kq - 2 10,18
r2qkb1r/1b1n1ppp/p2ppn2/1p2P3/3N1P2/2N2B2/PPP3PP/R1BQ1RK1 b kq - 0 10,52
r2qkb1r/3n1ppp/p2ppn2/1p2P3/3N1P2/2N2b2/PPP3PP/R1BQ1RK1 w kq - 0 11,55
r2qkb1r/3n1ppp/p2ppn2/1p2P3/5P2/2N2N2/PPP3PP/R1BQ1RK1 b kq - 0 11,60
r2qkb1r/3n1ppp/p3pn2/1p2p3/5P2/2N2N2/PPP3PP/R1BQ1RK1 w kq - 0 12,60
r2qkb1r/3n1ppp/p3pn2/1p2P3/8/2N2N2/PPP3PP/R1BQ1RK1 b kq - 0 12,72
r2qkb1r/3n1ppp/p3p3/1p2P3/6n1/2N2N2/PPP3PP/R1BQ1RK1 w kq - 1 13,79
r2qkb1r/3n1ppp/p3p3/1p2P3/6n1/2N2N2/PPP1Q1PP/R1B2RK1 b kq - 2 13,36
r2qkb1r/3n1ppp/p3p3/4P3/1p4n1/2N2N2/PPP1Q1PP/R1B2RK1 w kq - 0 14,58
r2qkb1r/3n1ppp/p3p3/4P3/1p2N1n1/5N2/PPP1Q1PP/R1B2RK1 b kq - 1 14,5
r2qkb1r/3n1ppp/p3p3/4n3/1p2N3/5N2/PPP1Q1PP/R1B2RK1 w kq - 0 15,91
r2qkb1r/3n1ppp/p3p3/4N3/1p2N3/8/PPP1Q1PP/R1B2RK1 b kq - 0 15,66
r2qkb1r/5ppp/p3p3/4n3/1p2N3/8/PPP1Q1PP/R1B2RK1 w kq - 0 16,87
r2qkb1r/5ppp/p3p3/4n1N1/1p6/8/PPP1Q1PP/R1B2RK1 b kq - 1 16,-79
r3kb1r/5ppp/pq2p3/4n1N1/1p6/8/PPP1Q1PP/R1B2RK1 w kq - 2 17,-79
r3kb1r/5ppp/pq2p3/4n1N1/1p6/8/PPP1Q1PP/R1B2R1K b kq - 3 17,-168
r3kb1r/5ppp/p3p3/1q2n1N1/1p6/8/PPP1Q1PP/R1B2R1K w kq - 4 18,-138
r3kb1r/5ppp/p3p3/1q2n1N1/1p6/8/PPP3PP/R1B1QR1K b kq - 5 18,-194
r3k2r/4bppp/p3p3/1q2n1N1/1p6/8/PPP3PP/R1B1QR1K w kq - 6 19,-203
r3k2r/4bppp/p3p3/1q2n1N1/1p6/1P6/P1P3PP/R1B1QR1K b kq - 0 19,-253
r4rk1/4bppp/p3p3/1q2n1N1/1p6/1P6/P1P3PP/R1B1QR1K w - - 1 20,-251
r4rk1/4bppp/p3p3/1q2n1N1/Pp6/1P6/2P3PP/R1B1QR1K b - a3 0 20,-244
r4rk1/4bppp/p3p3/2q1n1N1/Pp6/1P6/2P3PP/R1B1QR1K w - - 1 21,-254
r4rk1/4bppp/p3p3/2q1n1N1/Pp6/1P6/2P1Q1PP/R1B2R1K b - - 2 21,-245
2r2rk1/4bppp/p3p3/2q1n1N1/Pp6/1P6/2P1Q1PP/R1B2R1K w - - 3 22,-244
2r2rk1/4bppp/p3p3/2q1n1N1/PpP5/1P6/4Q1PP/R1B2R1K b - c3 0 22,-206
2r2rk1/4bppp/p3p3/2q1n1N1/P7/1Pp5/4Q1PP/R1B2R1K w - - 0 23,-241
2r2rk1/4bppp/p3p3/2q1n1N1/P7/BPp5/4Q1PP/R4R1K b - - 1 23,-247
2r2rk1/2q1bppp/p3p3/4n1N1/P7/BPp5/4Q1PP/R4R1K w - - 2 24,-234
2r2rk1/2q1Bppp/p3p3/4n1N1/P7/1Pp5/4Q1PP/R4R1K b - - 0 24,-277
2r2rk1/4qppp/p3p3/4n1N1/P7/1Pp5/4Q1PP/R4R1K w - - 0 25,-321
2r2rk1/4qppp/p3p3/4Q1N1/P7/1Pp5/6PP/R4R1K b - - 0 25,-311
5rk1/4qppp/p3p3/2r1Q1N1/P7/1Pp5/6PP/R4R1K w - - 1 26,-296
5rk1/4qppp/p3p3/2r3N1/P7/1Pp5/4Q1PP/R4R1K b - - 2 26,-319
5rk1/4qppp/p3p3/6r1/P7/1Pp5/4Q1PP/R4R1K w - - 0 27,-196
5rk1/4qppp/Q3p3/6r1/P7/1Pp5/6PP/R4R1K b - - 0 27,-190
5rk1/5ppp/Q3p3/6r1/Pq6/1Pp5/6PP/R4R1K w - - 1 28,-210
5rk1/5ppp/Q3p3/6r1/Pq6/1Pp5/6PP/RR5K b - - 2 28,-278
3r2k1/5ppp/Q3p3/6r1/Pq6/1Pp5/6PP/RR5K w - - 3 29,-256
3r2k1/5ppp/Q3p3/P5r1/1q6/1Pp5/6PP/RR5K b - - 0 29,-306
3r2k1/5pp1/Q3p2p/P5r1/1q6/1Pp5/6PP/RR5K w - - 0 30,-267
3r2k1/5pp1/4p2p/P5r1/1qQ5/1Pp5/6PP/RR5K b - - 1 30,-285
3r2k1/5pp1/4p2p/P5r1/2q5/1Pp5/6PP/RR5K w - - 0 31,-281
3r2k1/5pp1/4p2p/P5r1/2P5/2p5/6PP/RR5K b - - 0 31,-323
3r2k1/5pp1/4p2p/P5r1/2P5/8/2p3PP/RR5K w - - 0 32,-320
3r2k1/5pp1/4p2p/P5r1/2P5/8/2p3PP/R1R4K b - - 1 32,-718
3r2k1/5pp1/4p2p/r7/2P5/8/2p3PP/R1R4K w - - 0 33,-698
rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1,8
rnbqkb1r/pppppppp/5n2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 2 2,12
rnbqkb1r/pppppppp/5n2/8/2P5/5N2/PP1PPPPP/RNBQKB1R b KQkq - 0 2,12
rnbqkb1r/pppppp1p/5np1/8/2P5/5N2/PP1PPPPP/RNBQKB1R w KQkq - 0 3,29
rnbqkb1r/pppppp1p/5np1/8/2P5/5NP1/PP1PPP1P/RNBQKB1R b KQkq - 0 3,8
rnbqk2r/ppppppbp/5np1/8/2P5/5NP1/PP1PPP1P/RNBQKB1R w KQkq - 1 4,8
rnbqk2r/ppppppbp/5np1/8/2P5/5NP1/PP1PPPBP/RNBQK2R b KQkq - 2 4,10
rnbq1rk1/ppppppbp/5np1/8/2P5/5NP1/PP1PPPBP/RNBQK2R w KQ - 3 5,8
rnbq1rk1/ppppppbp/5np1/8/2P5/5NP1/PP1PPPBP/RNBQ1RK1 b - - 4 5,16
rnbq1rk1/pp1pppbp/5np1/2p5/2P5/5NP1/PP1PPPBP/RNBQ1RK1 w - - 0 6,28
rnbq1rk1/pp1pppbp/5np1/2p5/2PP4/5NP1/PP2PPBP/RNBQ1RK1 b - - 0 6,32
rnbq1rk1/pp2ppbp/3p1np1/2p5/2PP4/5NP1/PP2PPBP/RNBQ1RK1 w - - 0 7,46
rnbq1rk1/pp2ppbp/3p1np1/2P5/2P5/5NP1/PP2PPBP/RNBQ1RK1 b - - 0 7,23
rnbq1rk1/pp2ppbp/5np1/2p5/2P5/5NP1/PP2PPBP/RNBQ1RK1 w - - 0 8,27
rnbq1rk1/pp2ppbp/5np1/2p5/2P5/2N2NP1/PP2PPBP/R1BQ1RK1 b - - 1 8,19
r1bq1rk1/pp2ppbp/2n2np1/2p5/2P5/2N2NP1/PP2PPBP/R1BQ1RK1 w - - 2 9,27
r1bq1rk1/pp2ppbp/2n2np1/2p5/2P2B2/2N2NP1/PP2PPBP/R2Q1RK1 b - - 3 9,15
r1b2rk1/pp2ppbp/2n2np1/q1p5/2P2B2/2N2NP1/PP2PPBP/R2Q1RK1 w - - 4 10,40
r1b2rk1/pp2ppbp/2n2np1/q1p5/2P5/2N2NP1/PP1BPPBP/R2Q1RK1 b - - 5 10,0
r4rk1/pp2ppbp/2n2np1/q1p2b2/2P5/2N2NP1/PP1BPPBP/R2Q1RK1 w - - 6 11,22
r4rk1/pp2ppbp/2n2np1/q1p2b2/2P5/2N2NP1/PP1BPPBP/R1Q2RK1 b - - 7 11,-5
r4rk1/pp2ppbp/5np1/q1p2b2/2Pn4/2N2NP1/PP1BPPBP/R1Q2RK1 w - - 8 12,49
r4rk1/pp2ppbp/5np1/q1p2b2/2PN4/2N3P1/PP1BPPBP/R1Q2RK1 b - - 0 12,45
r4rk1/pp2ppbp/5np1/q4b2/2Pp4/2N3P1/PP1BPPBP/R1Q2RK1 w - - 0 13,34
r4rk1/pp2ppbp/5np1/q2N1b2/2Pp4/6P1/PP1BPPBP/R1Q2RK1 b - - 1 13,40
r2q1rk1/pp2ppbp/5np1/3N1b2/2Pp4/6P1/PP1BPPBP/R1Q2RK1 w - - 2 14,40
r2q1rk1/pp2ppbp/5npB/3N1b2/2Pp4/6P1/PP2PPBP/R1Q2RK1 b - - 3 14,-19
r2q1rk1/pp2pp1p/5npb/3N1b2/2Pp4/6P1/PP2PPBP/R1Q2RK1 w - - 0 15,-17
r2q1rk1/pp2pp1p/5npQ/3N1b2/2Pp4/6P1/PP2PPBP/R4RK1 b - - 0 15,-17
r2q1rk1/pp2pp1p/6pQ/3n1b2/2Pp4/6P1/PP2PPBP/R4RK1 w - - 0 16,-5
r2q1rk1/pp2pp1p/6pQ/3P1b2/3p4/6P1/PP2PPBP/R4RK1 b - - 0 16,-1
2rq1rk1/pp2pp1p/6pQ/3P1b2/3p4/6P1/PP2PPBP/R4RK1 w - - 1 17,4
2rq1rk1/pp2pp1p/6p1/3P1b2/3p4/6P1/PP1QPPBP/R4RK1 b - - 2 17,-1
2r2rk1/pp2pp1p/1q4p1/3P1b2/3p4/6P1/PP1QPPBP/R4RK1 w - - 3 18,-9
2r2rk1/pp2pp1p/1q4p1/3P1b2/3p4/6P1/PP1QPPBP/2R2RK1 b - - 4 18,-9
2r2rk1/1p2pp1p/1q4p1/p2P1b2/3p4/6P1/PP1QPPBP/2R2RK1 w - - 0 19,-1
2r2rk1/1p2pp1p/1q4p1/p2P1b2/3p4/P5P1/1P1QPPBP/2R2RK1 b - - 0 19,-5
5rk1/1p2pp1p/1q4p1/p2P1b2/3p4/P5P1/1P1QPPBP/2r2RK1 w - - 0 20,5
5rk1/1p2pp1p/1q4p1/p2P1b2/3p4/P5P1/1P1QPPBP/2R3K1 b - - 0 20,10
2r3k1/1p2pp1p/1q4p1/p2P1b2/3p4/P5P1/1P1QPPBP/2R3K1 w - - 1 21,12
2R3k1/1p2pp1p/1q4p1/p2P1b2/3p4/P5P1/1P1QPPBP/6K1 b - - 0 21,9
2b3k1/1p2pp1p/1q4p1/p2P4/3p4/P5P1/1P1QPPBP/6K1 w - - 0 22,6
2b3k1/1p2pp1p/1q4p1/p2P4/3p4/P5PP/1P1QPPB1/6K1 b - - 0 22,-5
2b3k1/1p2pp1p/6p1/p1qP4/3p4/P5PP/1P1QPPB1/6K1 w - - 1 23,26
2b3k1/1p2pp1p/6p1/p1qP4/3p1Q2/P5PP/1P2PPB1/6K1 b - - 2 23,17
2b5/1p2ppkp/6p1/p1qP4/3p1Q2/P5PP/1P2PPB1/6K1 w - - 3 24,40
1Qb5/1p2ppkp/6p1/p1qP4/3p4/P5PP/1P2PPB1/6K1 b - - 4 24,7
1Qb5/1p2ppkp/6p1/2qP4/p2p4/P5PP/1P2PPB1/6K1 w - - 0 25,4
2b5/1p2ppkp/6p1/2qP4/p2p1Q2/P5PP/1P2PPB1/6K1 b - - 1 25,-1
2b5/1p2p1kp/5pp1/2qP4/p2p1Q2/P5PP/1P2PPB1/6K1 w - - 0 26,36
2b5/1p2p1kp/5pp1/2qP4/p2p1Q1P/P5P1/1P2PPB1/6K1 b - - 0 26,6
2b5/1p2p1k1/5ppp/2qP4/p2p1Q1P/P5P1/1P2PPB1/6K1 w - - 0 27,22
2b5/1p2p1k1/5ppp/2qP4/p2p1Q1P/P4BP1/1P2PP2/6K1 b - - 1 27,21
8/1p1bp1k1/5ppp/2qP4/p2p1Q1P/P4BP1/1P2PP2/6K1 w - - 2 28,28
8/1p1bp1k1/5ppp/2qP4/p2pQ2P/P4BP1/1P2PP2/6K1 b - - 3 28,7
4b3/1p2p1k1/5ppp/2qP4/p2pQ2P/P4BP1/1P2PP2/6K1 w - - 4 29,38
4b3/1p2p1k1/3P1ppp/2q5/p2pQ2P/P4BP1/1P2PP2/6K1 b - - 0 29,23
4b3/1p2p1k1/3q1ppp/8/p2pQ2P/P4BP1/1P2PP2/6K1 w - - 0 30,29
4b3/1Q2p1k1/3q1ppp/8/p2p3P/P4BP1/1P2PP2/6K1 b - - 0 30,26
8/1Q2pbk1/3q1ppp/8/p2p3P/P4BP1/1P2PP2/6K1 w - - 1 31,20
8/4pbk1/2Qq1ppp/8/p2p3P/P4BP1/1P2PP2/6K1 b - - 2 31,-3
8/4pbk1/2q2ppp/8/p2p3P/P4BP1/1P2PP2/6K1 w - - 0 32,-5
8/4pbk1/2B2ppp/8/p2p3P/P5P1/1P2PP2/6K1 b - - 0 32,1
8/4p1k1/2B2ppp/8/p2p3P/Pb4P1/1P2PP2/6K1 w - - 1 33,1
8/4p1k1/2B2ppp/8/p2p1P1P/Pb4P1/1P2P3/6K1 b - - 0 33,5
8/6k1/2B2ppp/4p3/p2p1P1P/Pb4P1/1P2P3/6K1 w - - 0 34,0
8/6k1/2B2ppp/4P3/p2p3P/Pb4P1/1P2P3/6K1 b - - 0 34,-4
8/6k1/2B3pp/4p3/p2p3P/Pb4P1/1P2P3/6K1 w - - 0 35,-1
8/6k1/2B3pp/4p3/p2p3P/Pb4P1/1P2PK2/8 b - - 1 35,-3
8/8/2B2kpp/4p3/p2p3P/Pb4P1/1P2PK2/8 w - - 2 36,-2
8/8/5kpp/4p3/p2pB2P/Pb4P1/1P2PK2/8 b - - 3 36,0
8/8/5k1p/4p1p1/p2pB2P/Pb4P1/1P2PK2/8 w - - 0 37,0
8/8/5k1p/4p1P1/p2pB3/Pb4P1/1P2PK2/8 b - - 0 37,-17
8/8/7p/4p1k1/p2pB3/Pb4P1/1P2PK2/8 w - - 0 38,-3
8/8/7p/4p1k1/p2pB3/Pb2P1P1/1P3K2/8 b - - 0 38,0
8/8/7p/4p3/p2pB1k1/Pb2P1P1/1P3K2/8 w - - 1 39,0
8/8/7p/4p3/p2PB1k1/Pb4P1/1P3K2/8 b - - 0 39,0
8/8/7p/8/p2pB1k1/Pb4P1/1P3K2/8 w - - 0 40,0
8/8/7p/8/p2p2k1/Pb1B2P1/1P3K2/8 b - - 1 40,0
8/8/7p/8/p2p2k1/P2B2P1/1P3K2/3b4 w - - 2 41,0
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,26
rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,29
rnbqkbnr/pp1ppppp/8/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,32
rnbqkbnr/pp2pppp/3p4/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,41
rnbqkbnr/pp2pppp/3p4/2p5/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,39
rnbqkbnr/pp2pppp/3p4/8/3pP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 4,47
rnbqkbnr/pp2pppp/3p4/8/3NP3/8/PPP2PPP/RNBQKB1R b KQkq - 0 4,41
rnbqkb1r/pp2pppp/3p1n2/8/3NP3/8/PPP2PPP/RNBQKB1R w KQkq - 1 5,54
rnbqkb1r/pp2pppp/3p1n2/8/3NP3/2N5/PPP2PPP/R1BQKB1R b KQkq - 2 5,54
rnbqkb1r/1p2pppp/p2p1n2/8/3NP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 0 6,53
rnbqkb1r/1p2pppp/p2p1n2/6B1/3NP3/2N5/PPP2PPP/R2QKB1R b KQkq - 1 6,39
rnbqkb1r/1p3ppp/p2ppn2/6B1/3NP3/2N5/PPP2PPP/R2QKB1R w KQkq - 0 7,35
rnbqkb1r/1p3ppp/p2ppn2/6B1/3NPP2/2N5/PPP3PP/R2QKB1R b KQkq - 0 7,26
rnb1kb1r/1p3ppp/pq1ppn2/6B1/3NPP2/2N5/PPP3PP/R2QKB1R w KQkq - 1 8,35
rnb1kb1r/1p3ppp/pq1ppn2/6B1/3NPP2/2N5/PPPQ2PP/R3KB1R b KQkq - 2 8,33
rnb1kb1r/1p3ppp/p2ppn2/6B1/3NPP2/2N5/PqPQ2PP/R3KB1R w KQkq - 0 9,32
rnb1kb1r/1p3ppp/p2ppn2/6B1/3NPP2/2N5/PqPQ2PP/1R2KB1R b Kkq - 1 9,25
rnb1kb1r/1p3ppp/p2ppn2/6B1/3NPP2/q1N5/P1PQ2PP/1R2KB1R w Kkq - 2 10,32
rnb1kb1r/1p3ppp/p2ppB2/8/3NPP2/q1N5/P1PQ2PP/1R2KB1R b Kkq - 0 10,4
rnb1kb1r/1p3p1p/p2ppp2/8/3NPP2/q1N5/P1PQ2PP/1R2KB1R w Kkq - 0 11,13
rnb1kb1r/1p3p1p/p2ppp2/8/3NPP2/q1N5/P1PQB1PP/1R2K2R b Kkq - 1 11,11
rnb1k2r/1p3pbp/p2ppp2/8/3NPP2/q1N5/P1PQB1PP/1R2K2R w Kkq - 2 12,40
rnb1k2r/1p3pbp/p2ppp2/8/3NPP2/q1N5/P1PQB1PP/1R3RK1 b kq - 3 12,19
rnb1k2r/1p3pbp/p2pp3/5p2/3NPP2/q1N5/P1PQB1PP/1R3RK1 w kq - 0 13,-31
rnb1k2r/1p3pbp/p2pp3/5p2/3NPP2/q1N5/P1PQB1PP/1R1R2K1 b kq - 1 13,6
r1b1k2r/1p3pbp/p1npp3/5p2/3NPP2/q1N5/P1PQB1PP/1R1R2K1 w kq - 2 14,55
r1b1k2r/1p3pbp/p1Npp3/5p2/4PP2/q1N5/P1PQB1PP/1R1R2K1 b kq - 0 14,52
r1b1k2r/1p3p1p/p1Npp3/5p2/4PP2/q1b5/P1PQB1PP/1R1R2K1 w kq - 0 15,50
r1b1k2r/1p3p1p/p1Npp3/5p2/4PP2/q1b1Q3/P1P1B1PP/1R1R2K1 b kq - 1 15,29
r1b1k2r/5p1p/p1ppp3/5p2/4PP2/q1b1Q3/P1P1B1PP/1R1R2K1 w kq - 0 16,22
r1b1k2r/5p1p/p1ppp3/5p2/4PP2/qRb1Q3/P1P1B1PP/3R2K1 b kq - 1 16,22
r1b1k2r/5p1p/p1ppp3/2q2p2/4PP2/1Rb1Q3/P1P1B1PP/3R2K1 w kq - 2 17,25
r1b1k2r/5p1p/p1ppp3/2Q2p2/4PP2/1Rb5/P1P1B1PP/3R2K1 b kq - 0 17,31
r1b1k2r/5p1p/p1p1p3/2p2p2/4PP2/1Rb5/P1P1B1PP/3R2K1 w kq - 0 18,26
r1b1k2r/5p1p/p1p1p3/2p2p2/4PP2/2R5/P1P1B1PP/3R2K1 b kq - 0 18,33
r1b1k2r/5p1p/p1p1p3/2p5/4pP2/2R5/P1P1B1PP/3R2K1 w kq - 0 19,33
r1b1k2r/5p1p/p1p1p3/2R5/4pP2/8/P1P1B1PP/3R2K1 b kq - 0 19,33
r3k2r/3b1p1p/p1p1p3/2R5/4pP2/8/P1P1B1PP/3R2K1 w kq - 1 20,38
r3k2r/3b1p1p/p1p1p3/4R3/4pP2/8/P1P1B1PP/3R2K1 b kq - 2 20,36
r3k2r/3b3p/p1p1p3/4Rp2/4pP2/8/P1P1B1PP/3R2K1 w kq - 0 21,22
r3k2r/3b3p/p1p1p3/4Rp2/4pPP1/8/P1P1B2P/3R2K1 b kq - 0 21,12
r3k1r1/3b3p/p1p1p3/4Rp2/4pPP1/8/P1P1B2P/3R2K1 w q - 1 22,46
r3k1r1/3b3p/p1p1p3/4Rp2/4pPP1/8/P1P1BK1P/3R4 b q - 2 22,54
r3k1r1/3b3p/p1p1p3/4R3/4pPp1/8/P1P1BK1P/3R4 w q - 0 23,54
r3k1r1/3b3p/p1p1p3/8/4RPp1/8/P1P1BK1P/3R4 b q - 0 23,23
r3k1r1/3b4/p1p1p3/7p/4RPp1/8/P1P1BK1P/3R4 w q - 0 24,53
r3k1r1/3b4/p1p1p3/7p/4RPp1/6K1/P1P1B2P/3R4 b q - 1 24,5
r5r1/3bk3/p1p1p3/7p/4RPp1/6K1/P1P1B2P/3R4 w - - 2 25,7
r5r1/3bk3/p1p1p3/4R2p/5Pp1/6K1/P1P1B2P/3R4 b - - 3 25,-15
r5r1/3bk3/p1p1p3/4R3/5Ppp/6K1/P1P1B2P/3R4 w - - 0 26,-26
r5r1/3bk3/p1p1p3/4R3/5PpK/8/P1P1B2P/3R4 b - - 0 26,-11
r6r/3bk3/p1p1p3/4R3/5PpK/8/P1P1B2P/3R4 w - - 1 27,17
r6r/3bk3/p1p1p3/7R/5PpK/8/P1P1B2P/3R4 b - - 2 27,-23
r7/3bk3/p1p1p3/7r/5PpK/8/P1P1B2P/3R4 w - - 0 28,-18
r7/3bk3/p1p1p3/7K/5Pp1/8/P1P1B2P/3R4 b - - 0 28,-15
7r/3bk3/p1p1p3/7K/5Pp1/8/P1P1B2P/3R4 w - - 1 29,0
7r/3bk3/p1p1p3/8/5PK1/8/P1P1B2P/3R4 b - - 0 29,3
8/3bk3/p1p1p3/8/5PK1/8/P1P1B2r/3R4 w - - 0 30,2
8/3bk3/p1p1p3/8/5PK1/8/P1PRB2r/8 b - - 1 30,-9
8/3bk3/2p1p3/p7/5PK1/8/P1PRB2r/8 w - - 0 31,-12
8/3bk3/2p1p3/p7/5P2/6K1/P1PRB2r/8 b - - 1 31,-13
8/3bk3/2p1p3/p7/5P2/6K1/P1PRB3/7r w - - 2 32,-7
8/3bk3/2p1p3/p7/2B2P2/6K1/P1PR4/7r b - - 3 32,-14
8/3bk3/2p1p3/p7/2B2P2/6K1/P1PR4/4r3 w - - 4 33,-8
8/3bk3/2p1p3/p7/2B2P2/6K1/P1P1R3/4r3 b - - 5 33,-2
8/3bk3/2p1p3/p7/2B2P2/6K1/P1P1r3/8 w - - 0 34,0
8/3bk3/2p1p3/p7/5P2/6K1/P1P1B3/8 b - - 0 34,-2
rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1,11
rnbqkb1r/pppppppp/5n2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 2 2,16
rnbqkb1r/pppppppp/5n2/8/2P5/5N2/PP1PPPPP/RNBQKB1R b KQkq - 0 2,10
rnbqkb1r/pppppp1p/5np1/8/2P5/5N2/PP1PPPPP/RNBQKB1R w KQkq - 0 3,44
rnbqkb1r/pppppp1p/5np1/8/2P5/5NP1/PP1PPP1P/RNBQKB1R b KQkq - 0 3,20
rnbqk2r/ppppppbp/5np1/8/2P5/5NP1/PP1PPP1P/RNBQKB1R w KQkq - 1 4,14
rnbqk2r/ppppppbp/5np1/8/2P5/5NP1/PP1PPPBP/RNBQK2R b KQkq - 2 4,15
rnbq1rk1/ppppppbp/5np1/8/2P5/5NP1/PP1PPPBP/RNBQK2R w KQ - 3 5,15
rnbq1rk1/ppppppbp/5np1/8/2P5/5NP1/PP1PPPBP/RNBQ1RK1 b - - 4 5,13
rnbq1rk1/ppp1ppbp/3p1np1/8/2P5/5NP1/PP1PPPBP/RNBQ1RK1 w - - 0 6,40
rnbq1rk1/ppp1ppbp/3p1np1/8/2PP4/5NP1/PP2PPBP/RNBQ1RK1 b - - 0 6,32
r1bq1rk1/pppnppbp/3p1np1/8/2PP4/5NP1/PP2PPBP/RNBQ1RK1 w - - 1 7,31
r1bq1rk1/pppnppbp/3p1np1/8/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 b - - 2 7,27
r1bq1rk1/pppn1pbp/3p1np1/4p3/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 w - - 0 8,28
r1bq1rk1/pppn1pbp/3p1np1/4P3/2P5/2N2NP1/PP2PPBP/R1BQ1RK1 b - - 0 8,15
r1bq1rk1/pppn1pbp/5np1/4p3/2P5/2N2NP1/PP2PPBP/R1BQ1RK1 w - - 0 9,34
r1bq1rk1/pppn1pbp/5np1/4p3/2P5/2N2NP1/PPQ1PPBP/R1B2RK1 b - - 1 9,38
r1bq1rk1/pp1n1pbp/2p2np1/4p3/2P5/2N2NP1/PPQ1PPBP/R1B2RK1 w - - 0 10,43
r1bq1rk1/pp1n1pbp/2p2np1/4p3/2P5/2N2NP1/PPQ1PPBP/R1BR2K1 b - - 1 10,37
r1b2rk1/pp1nqpbp/2p2np1/4p3/2P5/2N2NP1/PPQ1PPBP/R1BR2K1 w - - 2 11,36
r1b2rk1/pp1nqpbp/2p2np1/4p1N1/2P5/2N3P1/PPQ1PPBP/R1BR2K1 b - - 3 11,5
r1b1nrk1/pp1nqpbp/2p3p1/4p1N1/2P5/2N3P1/PPQ1PPBP/R1BR2K1 w - - 4 12,-6
r1b1nrk1/pp1nqpbp/2p3p1/4p1N1/2P1P3/2N3P1/PPQ2PBP/R1BR2K1 b - - 0 12,-14
r1b2rk1/ppnnqpbp/2p3p1/4p1N1/2P1P3/2N3P1/PPQ2PBP/R1BR2K1 w - - 1 13,-15
r1b2rk1/ppnnqpbp/2p3p1/4p1N1/2P1P3/2N1B1P1/PPQ2PBP/R2R2K1 b - - 2 13,-41
r1b2rk1/ppnnqpb1/2p3pp/4p1N1/2P1P3/2N1B1P1/PPQ2PBP/R2R2K1 w - - 0 14,26
r1b2rk1/ppnnqpb1/2p3pp/4p3/2P1P3/2N1BNP1/PPQ2PBP/R2R2K1 b - - 1 14,24
r1b2rk1/pp1nqpb1/2p1n1pp/4p3/2P1P3/2N1BNP1/PPQ2PBP/R2R2K1 w - - 2 15,29
r1b2rk1/pp1nqpb1/2p1n1pp/4p3/2P1P3/2N1BNP1/PPQ2PBP/1R1R2K1 b - - 3 15,19
r1b2rk1/pp1nq1b1/2p1n1pp/4pp2/2P1P3/2N1BNP1/PPQ2PBP/1R1R2K1 w - - 0 16,9
